f_number;thm_prm;feature;importance
12221;prm;k3_lattice3-V;5.738899999999999
13389;prm;v6_waybel_0(k3_yellow_6(A,A,A),A);5.668213
10640;prm;=(k10_mcart_1(A,A,A,A,A),k2_mcart_1(k1_mcart_1(A)));5.14229
15449;prm;k4_filter_0(A,A,A);4.263923838709676
15876;prm;m1_subset_1(A,k1_zfmisc_1(u1_struct_0(k1_pre_topc(A,A))));3.97559
14310;prm;k4_mcart_1-k9_mcart_1;3.7220066666666667
11011;prm;k3_lattices(A,k3_lattices(A,k4_lattices(A,A,A),k4_lattices(A,A,A)),k4_lattices(A,A,A));3.24
11938;prm;k1_zfmisc_1-k2_xboole_0;3.2057810590909086
10456;prm;v20_lattices-V;3.153875
10701;prm;v3_filter_0(A);2.995709208333333
12490;prm;=-k7_partfun1;2.7231021250000005
5660;thm;=(k9_relat_1(A,k1_relat_1(A)),k2_relat_1(A));2.61185
11852;prm;k4_subset_1(A,A,k3_subset_1(A,A));2.602531843749999
10706;prm;v3_yellow_0;2.3726825675675682
12780;prm;=(A,k10_mcart_1(A,A,A,A,A));2.291007505882353
19180;prm;r2_funct_2(u1_struct_0(A),u1_struct_0(A),A,k3_tmap_1(A,A,A,A,A));2.2704871428571427
12948;prm;=(k4_mcart_1(A,A,A,A),k4_tarski(k4_tarski(k4_tarski(A,A),A),A));2.2247090873333337
397;thm;r3_orders_1-V;2.2151152333333335
10940;prm;k4_lattices(A,k7_lattices(A,A),k7_lattices(A,A));2.2129614285714285
11425;prm;v1_orders_2(g1_orders_2(A,A));2.1757570476190473
10632;prm;v5_orders_3-V;2.1532966666666664
14011;prm;v3_waybel_7-k3_yellow_1;2.141695
11136;prm;v1_relat_1-k1_wellord2;2.0873201111111106
12270;prm;v3_lattices-V;1.9982887222222223
16252;prm;l1_orders_2(k7_lattice3(A));1.89041
16179;prm;v1_funct_1(k7_relat_1(A,A));1.8665582758620693
14993;prm;v19_lattices-V;1.8220641
13169;prm;k1_domain_1;1.8119121666666667
12534;prm;m1_subset_1-k5_setfam_1;1.775486894736842
14462;prm;v2_funct_1(k6_relat_1(A));1.7736270000000003
13878;prm;=(k5_setfam_1(A,A),k3_tarski(A));1.763944
11170;prm;v23_waybel_0(A,A,A);1.7049975999999996
14325;prm;=(k2_pre_topc(A,A),k4_subset_1(u1_struct_0(A),A,k2_tops_1(A,A)));1.6950036421874999
11630;prm;r2_yellow_0(A,k3_xboole_0(A,u1_struct_0(A)));1.665582944444444
10767;prm;v1_relat_1-k1_tarski;1.66283
766;thm;r1_tarski(k2_relat_1(k7_relat_1(A,A)),k2_relat_1(A));1.62756
14746;prm;k2_tarski(k1_xboole_0,k1_tarski(A));1.6209533124999997
14760;prm;v1_funct_2(A,k1_tarski(A),A);1.61627
11621;prm;r1_lattices-k1_lattices;1.59251
11695;prm;v1_funct_1(k6_relat_1(A));1.586934222222223
12531;prm;=-k8_tmap_1;1.5724933333333333
12247;prm;v1_waybel_7;1.54543
17527;prm;=(k4_lattices(A,A,k3_lattices(A,A,A)),k3_lattices(A,k4_lattices(A,A,A),k4_lattices(A,A,A)));1.5444970666666669
13303;prm;r1_tarski(k2_xboole_0(k3_xboole_0(A,A),k3_xboole_0(A,A)),k2_xboole_0(A,A));1.5409124444444444
13495;prm;r1_tarski-k8_relset_1;1.5332031000000002
12435;prm;r7_relat_2;1.5309649310344822
12191;prm;k7_domain_1(u1_struct_0(A),A,A);1.5300907000000001
15528;prm;k2_funcop_1;1.4965846153846154
11496;prm;m1_subset_1(k5_lattices(A),u1_struct_0(A));1.48527
19381;prm;=(k6_setfam_1(A,A),k1_setfam_1(A));1.4819875
15499;prm;v1_relat_1(k2_tarski(k4_tarski(A,A),k4_tarski(A,A)));1.459225
12485;prm;v2_funct_1(k2_tops_2(u1_struct_0(A),u1_struct_0(A),A));1.438435714285714
1047;thm;=(k3_waybel_0(A,A),k3_waybel_0(A,A));1.426784
10438;prm;k3_relset_1-u1_struct_0;1.4025983636363635
12199;prm;k1_binop_1-V;1.356066
10863;prm;=(k2_relset_1(u1_struct_0(A),u1_struct_0(A),k2_tops_2(u1_struct_0(A),u1_struct_0(A),A)),k2_struct_0(A));1.349765
10912;prm;v2_tdlat_3(A);1.33612
13922;prm;k2_tmap_1(A,k8_tmap_1(A,A),k9_tmap_1(A,A),A);1.3311825000000002
3827;thm;v2_tex_2-k4_subset_1;1.3214740878787883
18921;prm;k2_wellord1-k1_wellord1;1.3175975
15773;prm;=(k3_lattices(A,k3_lattices(A,k4_lattices(A,A,A),k4_lattices(A,A,A)),k4_lattices(A,A,A)),k4_lattices(A,k4_lattices(A,k3_lattices(A,A,A),k3_lattices(A,A,A)),k3_lattices(A,A,A)));1.2667188888888892
11013;prm;=-k16_lattice3;1.2574677741935487
18660;prm;=(k1_tarski(A),k2_xboole_0(A,A));1.2564983333333333
11912;prm;k1_funct_1(k5_relat_1(A,k2_funct_1(A)),A);1.23876
13339;prm;k9_subset_1(u1_struct_0(A),k2_pre_topc(A,A),k2_pre_topc(A,k3_subset_1(u1_struct_0(A),A)));1.1661555
20151;prm;v1_zfmisc_1-V;1.1581136799655918
1639;thm;k1_relat_1-k2_zfmisc_1;1.1375762938775509
10713;prm;=(u1_orders_2(A),k1_toler_1(u1_orders_2(A),u1_struct_0(A)));1.119838409090909
14587;prm;=(A,k11_mcart_1(A,A,A,A,A));1.11891189375
13975;prm;v1_xboole_0(k1_tarski(A));1.1150950000000002
12984;prm;m4_yellow_6-V;1.1121062
14208;prm;v1_orders_2(k2_yellow_1(A));1.103031
14580;prm;=-k9_setfam_1;1.09687
14917;prm;k10_relat_1-k3_xboole_0;1.0892693240740736
10275;prm;v1_funct_2(k3_tmap_1(A,A,k1_tsep_1(A,A,A),A,A),u1_struct_0(A),u1_struct_0(A));1.07611
18599;prm;k10_relat_1(k7_relat_1(A,A),A);1.0689950000000001
10709;prm;v4_yellow_0-V;1.058242307586207
18698;prm;=(u1_struct_0(k1_pre_topc(A,A)),A);1.040167035714286
8601;thm;=(k7_relat_1(k7_relat_1(A,A),A),k1_xboole_0);1.0259662
1102;thm;r2_funct_2-k6_partfun1;1.01305357
10437;prm;m1_subset_1(k7_mcart_1(A,A,A,A),A);1.00999
14737;prm;r2_hidden-k1_relset_1;1.0050568461538463
16415;prm;k9_relat_1-k7_relat_1;1.001742625
12447;prm;k3_xboole_0(k1_relat_1(A),k1_relat_1(A));1.0002704
11413;prm;v4_pre_topc-k9_subset_1;0.9833786666666665
15266;prm;=(k1_partfun1(A,A,A,A,A,A),k5_relat_1(A,A));0.97769
19161;prm;v2_struct_0(A);0.9721589313868785
15898;prm;m3_yellow_6(A,u1_struct_0(A),A);0.962194
12995;prm;m1_subset_1(k2_tops_1(A,A),k1_zfmisc_1(u1_struct_0(A)));0.9528994746268661
19831;prm;=(k8_relset_1(A,A,A,A),k10_relat_1(A,A));0.9512455176470593
17928;prm;v3_relat_2(A);0.9300890944642866
6595;thm;k2_relat_1-k2_zfmisc_1;0.9272373883333338
16067;prm;v5_pre_topc-g1_pre_topc;0.926641
18587;prm;=(k4_subset_1(A,A,A),k4_subset_1(A,A,A));0.9191186153846154
11449;prm;v1_xboole_0-k1_ordinal1;0.9125237619047619
18465;prm;=(k1_funct_1(k5_relat_1(A,A),A),k1_funct_1(A,k1_funct_1(A,A)));0.9093355882352941
11453;prm;k2_tops_2(u1_struct_0(A),u1_struct_0(A),A);0.9059965333333333
3290;thm;r2_waybel_7-k1_yellow19;0.8868285294117645
13324;prm;r3_waybel_9;0.8855273790123458
10999;prm;k2_tsep_1(A,A,k1_tsep_1(A,A,A));0.880710652173913
10556;prm;v2_waybel_0(A,k3_yellow_1(u1_struct_0(A)));0.8661641442857143
13357;prm;v3_waybel_7(A,A);0.8603447500000001
391;thm;v5_orders_3-V;0.8505451111111111
2670;thm;u1_struct_0;0.8493499028776057
16296;prm;k1_zfmisc_1(u1_struct_0(g1_pre_topc(u1_struct_0(A),u1_pre_topc(A))));0.848265780434783
10516;prm;k1_partfun1(u1_struct_0(A),u1_struct_0(A),u1_struct_0(A),u1_struct_0(A),A,A);0.8465648181818182
11028;prm;m1_subset_1-k7_lattices;0.8448882653061232
1613;thm;r1_borsuk_1;0.8351313320792076
3651;thm;r1_funct_2-V;0.8260916666666668
15;thm;m3_yellow_6;0.8172280000000001
10514;prm;m1_subset_1-k7_relset_1;0.8168909016949153
14819;prm;k10_relat_1-k9_relat_1;0.8155232049999998
10853;prm;=(k4_xboole_0(k2_xboole_0(A,A),k3_xboole_0(A,A)),k2_xboole_0(k4_xboole_0(A,A),k4_xboole_0(A,A)));0.811411
1145;thm;v1_subset_1(A,u1_struct_0(k3_yellow_1(A)));0.8104309999999995
13440;prm;v6_tops_1;0.8070563608695653
12342;prm;r1_tarski-k6_relat_1;0.8068107047169811
6883;thm;=(k2_xboole_0(k2_tarski(A,A),A),A);0.8029062000000001
13178;prm;=-k1_wellord1;0.7996127173913044
14183;prm;=(k3_tarski(A),k1_xboole_0);0.793522
10268;prm;k6_setfam_1(A,k7_setfam_1(A,A));0.7893785
17821;prm;k2_yellow_1-u1_pre_topc;0.7878798604651164
13414;prm;k6_subset_1(k1_relat_1(A),k1_relat_1(A));0.781983
11400;prm;=-k3_yellow_1;0.7747124545454546
14506;prm;r2_hidden-k9_subset_1;0.7724925
10274;prm;k9_subset_1;0.7654484465220821
13072;prm;k7_filter_1(A,A);0.7639794700884958
12171;prm;r2_hidden-k10_yellow_6;0.7609648431372547
2208;thm;r2_relset_1-k2_partfun1;0.7564723846153847
13983;prm;k4_mcart_1-V;0.7530041325366675
8255;thm;=(k1_tops_1(A,A),k1_xboole_0);0.7522134249999999
11957;prm;=(k1_relset_1(A,A,k3_relset_1(A,A,A)),k2_relset_1(A,A,A));0.7466555454545455
15203;prm;=(k4_lattices(A,A,A),k2_lattices(A,A,A));0.7439098666666666
12294;prm;k3_yellow_1(k2_struct_0(A));0.737056
4519;thm;v1_funct_2(A,k1_tarski(A),A);0.7341457790322582
15056;prm;=(g1_pre_topc(u1_struct_0(A),u1_pre_topc(A)),A);0.7309607930946301
15434;prm;=(k9_relat_1(A,k10_relat_1(A,A)),A);0.7303907058823528
10424;prm;=(k7_relset_1(A,A,A,k8_relset_1(A,A,A,A)),k2_relset_1(A,A,A));0.7296782
8680;thm;k2_wellord1-k1_wellord1;0.7281274777777778
11929;prm;=-k3_yellow_0;0.7255578772727274
21;thm;v2_funct_1(k2_funct_1(A));0.7217295736842104
18196;prm;u1_struct_0-k2_tsep_1;0.720649
4726;thm;k4_tmap_1;0.7199611457627118
4899;thm;k7_relat_1(k1_xboole_0,A);0.7106738695652176
17691;prm;v5_relat_1-k1_xboole_0;0.7092618870967742
5410;thm;r1_tarski(k1_wellord1(A,A),k3_relat_1(A));0.7070368333333334
10762;prm;k7_subset_1(u1_struct_0(A),A,k1_tops_1(A,A));0.6975951111111109
15380;prm;=(k4_xboole_0(A,k2_xboole_0(A,A)),k1_xboole_0);0.6936284658536584
2615;thm;=(k10_relat_1(A,A),k10_relat_1(A,k3_xboole_0(k2_relat_1(A),A)));0.689081923076923
3062;thm;r1_tarski(k2_xboole_0(k3_xboole_0(A,A),k3_xboole_0(A,A)),k2_xboole_0(A,A));0.6874537689655172
11204;prm;v3_yellow_6(A,A);0.6862719749999999
13372;prm;k1_yellow_1(A);0.6809803166666666
19927;prm;k2_xboole_0(k4_xboole_0(A,A),k4_xboole_0(A,A));0.67553682575
20367;prm;=(A,k4_tarski(k1_mcart_1(A),k2_mcart_1(A)));0.6742034432432432
18526;prm;=(k9_subset_1(A,A,A),k9_subset_1(A,A,A));0.6585397924528303
11905;prm;k1_toler_1(A,A);0.6507434210526316
12053;prm;r1_xboole_0-k3_xboole_0;0.6452975042553195
18118;prm;r1_tarski-k3_waybel_0;0.6444498571428572
12401;prm;k4_setfam_1;0.6440894444444445
10326;prm;v1_funct_2(A,A,k2_zfmisc_1(A,A));0.6340691666666667
15544;prm;=-k1_partfun1;0.6327733333333333
12944;prm;=(g1_orders_2(u1_struct_0(A),u1_orders_2(A)),g1_orders_2(u1_struct_0(A),u1_orders_2(A)));0.6298267559883797
167;thm;k4_relat_1(k6_relat_1(A));0.628733
534;thm;k2_xboole_0(k2_tarski(A,A),k2_tarski(A,A));0.626915
15230;prm;m1_subset_1(k1_lattices(A,A,A),u1_struct_0(A));0.622077655882353
1370;thm;r2_hidden(k9_mcart_1(A,A,A,A,A),A);0.6155516333333334
468;thm;v4_yellow_0-V;0.6138272751698118
13773;prm;=(k3_mcart_1(A,A,A),k4_tarski(k4_tarski(A,A),A));0.6128559735294118
4052;thm;r2_yellow_0(A,k1_xboole_0);0.6101484521739131
