f_number;thm_prm;feature;importance
16269;prm;=;23137
11926;prm;=-V;19005
1685;thm;=-V;17239
10615;prm;r2_hidden(A,A);16166
6028;thm;=;14875
4996;thm;r1_tarski;11845
15237;prm;r1_tarski;11624
374;thm;r2_hidden(A,A);10040
7392;thm;r1_tarski-V;8376
4651;thm;=(A,k1_xboole_0);7834
12094;prm;m1_subset_1;7128
15641;prm;v1_relat_1(A);6094
17633;prm;r1_tarski-V;5805
1853;thm;m1_subset_1;5298
15375;prm;m1_subset_1-V;5202
2368;thm;v1_funct_1-V;4974
2503;thm;v2_pre_topc(A);4437
18114;prm;k1_xboole_0;4272
1589;thm;v2_struct_0-V;4073
5400;thm;v1_relat_1(A);3957
155;thm;k2_zfmisc_1(A,A);3900
11830;prm;v2_struct_0-V;3874
12911;prm;u1_struct_0;3752
12744;prm;v2_pre_topc(A);3732
12346;prm;k1_zfmisc_1-V;3662
524;thm;k1_zfmisc_1-u1_struct_0;3655
11593;prm;k1_tarski(A);3542
12854;prm;k2_xboole_0-V;3441
4414;thm;k2_tarski(A,A);3366
7873;thm;k1_xboole_0;3319
14892;prm;=(A,k1_xboole_0);3291
10765;prm;k1_zfmisc_1-u1_struct_0;3218
14947;prm;m1_subset_1(A,k1_zfmisc_1(A));3203
17904;prm;v1_relat_1-V;3183
594;thm;k1_relat_1(A);3171
1352;thm;k1_tarski(A);3161
1805;thm;k3_xboole_0(A,A);3160
12046;prm;k3_xboole_0(A,A);3098
2245;thm;r1_xboole_0;3088
10396;prm;k2_zfmisc_1(A,A);3018
1088;thm;k2_zfmisc_1-V;2988
14125;prm;m1_subset_1(A,k1_zfmisc_1(k2_zfmisc_1(A,A)));2976
12757;prm;m1_subset_1(A,u1_struct_0(A));2922
12609;prm;v1_funct_1-V;2772
11143;prm;k4_xboole_0(A,A);2680
2516;thm;m1_subset_1(A,u1_struct_0(A));2586
2613;thm;k2_xboole_0-V;2554
13778;prm;l1_pre_topc;2489
15005;prm;r2_hidden-V;2389
10439;prm;r1_orders_2-V;2374
99;thm;=-k2_xboole_0;2353
